Date,open,high,low,Close,volume
2017-06-14,26.5361,26.5908,26.2443,26.3173,3139780
2017-06-15,26.0254,26.1805,25.9981,26.1075,4272717
2017-06-16,26.2352,26.3811,26.1349,26.3446,4921043
2017-06-19,26.3446,26.3902,26.2625,26.3173,2755235
2017-06-20,26.3355,26.3537,25.9434,26.0072,3447778
2017-06-21,26.0802,26.1622,26.0118,26.0346,2950359
2017-06-22,26.2352,26.2671,26.144,26.2169,2591535
2017-06-23,26.2899,26.4176,26.2534,26.3081,1923845
2017-06-26,26.4996,26.5543,26.2352,26.2534,3535445
2017-06-27,26.1075,26.2443,26.071,26.1212,3569330
2017-06-28,26.2443,26.3993,26.2078,26.3446,4014616
2017-06-29,26.3811,26.4016,26.103,26.1896,3659805
2017-06-30,26.2808,26.2899,26.0437,26.1987,2861412
2017-07-03,26.0802,26.2261,26.0802,26.1531,1886062
2017-07-05,26.0528,26.1714,26.0072,26.0802,3047322
2017-07-06,26.1349,26.144,26.0072,26.0528,2077256
2017-07-07,26.0346,26.1805,25.9707,26.1531,2128315
2017-07-10,26.0802,26.2625,26.051,26.1896,1676034
2017-07-11,25.9616,25.9981,25.8157,25.8704,3186245
2017-07-12,26.1805,26.4221,26.1622,26.3537,3601243
2017-07-13,26.5543,26.5817,26.3355,26.4996,2342166
2017-07-14,26.454,26.5635,26.4176,26.5361,2255915
2017-07-17,26.5908,26.755,26.5908,26.6364,1846912
2017-07-18,26.4905,26.5908,26.3993,26.5726,1933781
2017-07-19,26.8006,26.8097,26.6911,26.7458,2332831
2017-07-20,26.9465,27.0285,26.8279,26.9556,3034593
2017-07-21,27.3021,27.3203,27.0285,27.1471,3616487
2017-07-24,26.7276,26.7732,26.5817,26.7185,2872165
2017-07-25,26.7458,26.7823,26.5179,26.5361,1802068
2017-07-26,26.5452,26.6455,26.4996,26.5999,2584528
2017-07-27,27.1106,27.1288,26.744,26.9191,3447401
2017-07-28,26.5999,26.8816,26.5908,26.8462,2316095
2017-07-31,26.9738,27.0924,26.9145,27.065,1966461
2017-08-01,27.2383,27.2474,27.0194,27.0285,1855435
2017-08-02,27.0012,27.0559,26.8781,27.0559,1655542
2017-08-03,26.9921,27.2474,26.9465,27.1471,1691826
2017-08-04,27.1836,27.22,27.1288,27.1836,3099701
2017-08-07,27.3386,27.3568,27.2383,27.2656,2001212
2017-08-08,27.0194,27.1471,26.9601,27.0103,2002343
2017-08-09,27.1836,27.3386,27.106,27.1927,3626209
2017-08-10,26.8917,26.8917,26.6911,26.7002,2675433
2017-08-11,26.5361,26.5726,26.3355,26.4449,5557519
2017-08-14,26.527,26.7686,26.5008,26.7094,2863410
2017-08-15,26.454,26.5179,26.3264,26.4723,2680877
2017-08-16,26.4176,26.4996,26.3902,26.454,2477702
2017-08-17,26.4358,26.4723,26.0437,26.0437,3513043
2017-08-18,26.1075,26.1531,25.989,26.0346,3242459
2017-08-21,26.1987,26.2808,26.1349,26.1714,2312679
2017-08-22,26.2078,26.3355,26.1623,26.2717,2341341
2017-08-23,26.1531,26.1805,26.0802,26.1075,2354782
2017-08-24,26.1075,26.1394,26.0163,26.0528,2092911
2017-08-25,26.1166,26.2625,26.0893,26.1805,1998184
2017-08-28,26.2078,26.2808,26.1166,26.1805,1432982
2017-08-29,25.8887,26.0528,25.8887,25.9525,2335128
2017-08-30,26.1258,26.2323,26.071,26.1896,3269819
2017-08-31,26.2261,26.4905,26.2261,26.4723,1978765
2017-09-01,26.5452,26.5543,26.2808,26.3081,2957617
2017-09-05,26.1349,26.1714,25.8203,25.8887,2717107
2017-09-06,26.0802,26.1349,25.9799,26.0072,2807120
2017-09-07,26.1622,26.1622,25.9434,25.9707,2913461
2017-09-08,26.0254,26.0802,25.9525,25.989,1520905
2017-09-11,26.144,26.4267,26.144,26.372,1905888
2017-09-12,26.2261,26.4084,26.2169,26.3355,1810125
2017-09-13,26.3173,26.3993,26.2169,26.2443,1821726
2017-09-14,26.1166,26.1622,25.9799,26.071,1683388
2017-09-15,25.9525,26.0072,25.8522,25.989,3880040
2017-09-18,26.1349,26.3036,26.0072,26.0984,2700796
2017-09-19,26.1349,26.4039,26.1121,26.3173,2411779
2017-09-20,26.4358,26.4814,26.1622,26.3173,2423972
2017-09-21,25.9981,26.1896,25.9861,26.0984,1617097
2017-09-22,26.1166,26.2169,26.0437,26.1166,2090836
2017-09-25,26.0437,26.1896,26.0209,26.0802,2749953
2017-09-26,26.0163,26.061,25.8522,25.9753,2011586
2017-09-27,25.8978,25.9706,25.7792,25.8613,2437972
2017-09-28,25.5148,25.688,25.4783,25.5877,4081150
2017-09-29,25.8066,25.9753,25.7245,25.9525,2253824
2017-10-02,25.9069,25.9525,25.7792,25.8704,2622586
2017-10-03,25.7975,25.916,25.7884,25.8978,3410515
2017-10-04,25.8978,25.9069,25.6352,25.6972,2414220
2017-10-05,25.4783,25.8157,25.4601,25.6698,4539932
2017-10-06,25.6698,25.6789,25.4965,25.5969,2472479
2017-10-09,25.7245,25.7336,25.5513,25.5877,2129601
2017-10-10,25.8704,26.1349,25.8613,26.071,3436771
2017-10-11,26.2352,26.2899,26.1486,26.2443,3044920
2017-10-12,26.2625,26.527,26.1714,26.4996,4929492
2017-10-13,26.6455,26.682,26.4814,26.5543,2570975
2017-10-16,26.4996,26.5726,26.3902,26.4449,2081109
2017-10-17,26.5179,26.527,26.3355,26.4358,1638976
